Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude,Reliability
Melbourne-Gold Coast,Melbourne,Gold Coast,Tigerair Australia,Jan-20,87,87,0,66,60,21,27,2020,1,-37.669,144.841,-28.1644,153.5051,68.96551724137932
Melbourne-Perth,Melbourne,Perth,Tigerair Australia,Jan-20,59,57,2,42,42,15,15,2020,1,-37.669,144.841,-31.9403,115.9676,73.68421052631578
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,Jan-20,267,242,25,165,142,77,100,2020,1,-37.669,144.841,-33.9399,151.1753,58.67768595041323
Perth-Melbourne,Perth,Melbourne,Tigerair Australia,Jan-20,58,56,2,37,44,19,12,2020,1,-31.9403,115.9676,-37.669,144.841,78.57142857142857
Perth-Sydney,Perth,Sydney,Tigerair Australia,Jan-20,27,27,0,16,19,11,8,2020,1,-31.9403,115.9676,-33.9399,151.1753,70.37037037037037
Sydney-Adelaide,Sydney,Adelaide,Tigerair Australia,Jan-20,30,29,1,17,18,12,11,2020,1,-33.9399,151.1753,-34.945,138.5306,62.06896551724138
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,Jan-20,139,134,5,94,92,40,42,2020,1,-33.9399,151.1753,-27.3842,153.1175,68.65671641791045
Sydney-Cairns,Sydney,Cairns,Tigerair Australia,Jan-20,31,31,0,28,26,3,5,2020,1,-33.9399,151.1753,-16.8858,145.7553,83.87096774193549
Sydney-Gold Coast,Sydney,Gold Coast,Tigerair Australia,Jan-20,97,96,1,63,58,33,38,2020,1,-33.9399,151.1753,-28.1644,153.5051,60.416666666666664
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,Jan-20,268,243,25,142,143,101,100,2020,1,-33.9399,151.1753,-37.669,144.841,58.8477366255144
Sydney-Perth,Sydney,Perth,Tigerair Australia,Jan-20,28,28,0,19,20,9,8,2020,1,-33.9399,151.1753,-31.9403,115.9676,71.42857142857143
Adelaide-Brisbane,Adelaide,Brisbane,Virgin Australia,Jan-20,111,111,0,93,98,18,13,2020,1,-34.945,138.5306,-27.3842,153.1175,88.28828828828829
Adelaide-Canberra,Adelaide,Canberra,Virgin Australia,Jan-20,27,26,1,21,21,5,5,2020,1,-34.945,138.5306,-35.3069,149.195,80.76923076923077
Adelaide-Gold Coast,Adelaide,Gold Coast,Virgin Australia,Jan-20,34,34,0,33,31,1,3,2020,1,-34.945,138.5306,-28.1644,153.5051,91.17647058823529
Adelaide-Melbourne,Adelaide,Melbourne,Virgin Australia,Jan-20,257,247,10,174,168,73,79,2020,1,-34.945,138.5306,-37.669,144.841,68.0161943319838
Adelaide-Perth,Adelaide,Perth,Virgin Australia,Jan-20,42,42,0,34,32,8,10,2020,1,-34.945,138.5306,-31.9403,115.9676,76.19047619047619
Adelaide-Sydney,Adelaide,Sydney,Virgin Australia,Jan-20,162,161,1,130,128,31,33,2020,1,-34.945,138.5306,-33.9399,151.1753,79.5031055900621
Brisbane-Adelaide,Brisbane,Adelaide,Virgin Australia,Jan-20,111,110,1,77,95,33,15,2020,1,-27.3842,153.1175,-34.945,138.5306,86.36363636363636
Brisbane-Cairns,Brisbane,Cairns,Virgin Australia,Jan-20,143,143,0,112,124,31,19,2020,1,-27.3842,153.1175,-16.8858,145.7553,86.7132867132867
